,hisp,pop,n_competitors,ratings,reviews,spread_rating,metrics
61,0.09,12332,4.0,2.75,37.5,0.00133798248459,0.00836239052871
62,0.067,14068,1.0,4.0,9.0,0.0,0.002558999147
63,0.046,14440,3.0,2.5,25.3333333333,0.0042243767313,0.00438596491228
64,0.12,15687,9.0,3.11111111111,75.0,0.00662969337668,0.0148743120631
65,0.17,16379,5.0,3.2,7.6,0.00170950607485,0.00148482813359
66,0.023,16408,2.0,3.5,15.5,0.000335202340322,0.00330631399317
67,0.012,17835,2.0,3.75,2.5,2.80347631063e-05,0.000525651808242
68,0.064,21006,4.0,4.5,7.0,0.000428449014567,0.00149957155099
69,0.022,21041,1.0,3.5,7.0,0.0,0.00116439332731
70,0.158,22565,3.0,2.83333333333,17.0,0.0011965433193,0.00213457419307
71,0.336,23292,9.0,3.44444444444,45.5555555556,0.00420745320282,0.0067368014875
72,0.022,23746,2.0,3.75,46.0,0.00151604480755,0.00726438136949
73,0.107,24286,2.0,4.0,125.0,0.0,0.0205879930824
74,0.154,26203,7.0,3.64285714286,9.42857142857,0.00206083272908,0.00131080176985
75,0.314,37821,8.0,3.4375,32.375,0.00162608074879,0.00294252035906
76,0.174,42616,6.0,3.75,71.6666666667,0.00154871409799,0.00630631687629
77,0.035,42620,6.0,3.33333333333,69.1666666667,0.0028038479587,0.00540956254236
78,0.051,43475,7.0,3.78571428571,49.1428571429,0.00138010350776,0.00427925971999
79,0.157,48914,2.0,4.25,18.5,0.000194218424173,0.00160741301059
80,0.03,75568,1.0,3.5,14.0,0.0,0.000648422612746
81,0.029,84585,1.0,4.0,35.0,0.0,0.0016551398002
82,0.031,95535,4.0,4.125,28.25,0.000450096823154,0.00121977547496
83,0.031,95535,5.0,2.5,29.6,6.28042078819e-05,0.000774585230544
84,0.055,97032,4.0,3.25,24.0,0.000886305548685,0.0008038585209
85,0.161,139966,5.0,3.2,90.2,0.000485832273552,0.00206221510938
86,0.075,180719,8.0,3.25,30.375,0.000448209651448,0.000546255512702
87,0.063,204214,10.0,3.2,62.6,0.00036236497008,0.000980931767655
88,0.07,4883,1.0,3.5,11.0,0.0,0.00788449723531
89,0.042,5252,3.0,3.16666666667,2.66666666667,0.000952018278751,0.001607853093
90,0.037,5837,2.0,1.5,3.0,0.0,0.000770943978071
91,0.024,6170,2.0,1.5,7.0,0.0,0.0017017828201
92,0.5,6956,22.0,3.56818181818,27.4545454545,0.00991949396205,0.0140832101664
93,0.5,6956,2.0,2.5,8.0,0.0,0.00287521564117
94,0.5,6956,7.0,3.57142857143,27.8571428571,0.00445658424382,0.0143027308681
95,0.059,7102,3.0,3.33333333333,63.0,0.0121092649958,0.0295691354548
96,0.314,8080,4.0,3.5,5.5,0.000556930693069,0.00238242574257
97,0.032,8753,3.0,4.0,39.6666666667,0.0,0.0181271183213
98,0.022,9002,2.0,4.0,12.0,0.000777604976672,0.00533214841146
99,0.269,9148,7.0,2.85714285714,8.42857142857,0.00163970266725,0.00263244781953
100,0.047,9288,7.0,2.85714285714,11.8571428571,0.000538329026701,0.00364745381357
101,0.043,10120,3.0,3.66666666667,35.6666666667,0.00375494071146,0.012922705314
